name,country_codes,avg_estimated_travel_time,security_deposit,weekly_price,monthly_price,price,Id,
Sunny and bright 2 bedrooms + Free Private Parking,AU,1.336805556,0,NULL,NULL,146,637,
"Great location with pool, gym and sauna!",AU,1.336805556,0,NULL,NULL,51,638,
Near The Galata Tower,TR,1.838541667,NULL,NULL,NULL,142,639,
"Open Style Suite w/Island Touches, WiFi, Full Kitchen, Lanai–Kiahuna Plantation #2334",US,-7.5,0,NULL,NULL,436,640,
"Spacious Master Room M with ensuite,AC, study desk",AU,1.336805556,200,NULL,NULL,63,641,
Statue of Liberty views & subway on corner!,US,-7.5,100,NULL,NULL,79,642,
"Brilliant, bright, cozy room, minutes to the beach",AU,1.336805556,NULL,NULL,NULL,71,643,
"Ocean View Condo with Lanai, end unit for privacy.",US,-7.5,0,NULL,NULL,125,644,
Fab luxury apartment  - The Watertower,AU,1.336805556,888,NULL,NULL,100,645,
"Cute one bedroom apt. in Greenpoint, Brooklyn.",US,-7.5,200,NULL,NULL,59,646,
Lovely Gardened House 10 minutes walking to metro,TR,1.838541667,527,1845,6855,264,647,
Vaucluse hideaway,AU,1.336805556,0,NULL,NULL,61,648,
Double bedroom with own lounge area & bathroom,AU,1.336805556,NULL,NULL,NULL,109,649,
**Brand New**Luxe Centennial Parkside Retreat**,AU,1.336805556,800,NULL,NULL,159,650,
Bright Bronte beach apartment,AU,1.336805556,0,NULL,NULL,85,651,
Beautiful/Spacious 1 Bedroom in LES,US,-7.5,NULL,NULL,4000,120,652,
"Aloha! Private cozy bedroom, walk to the beach!!",US,-7.5,100,NULL,NULL,58,653,
Newly Built Detached Apartment.,US,-7.5,0,NULL,NULL,120,654,
A Boutique Hotel with Style in Istanbul’s HistPera,TR,1.838541667,NULL,NULL,NULL,554,655,
"Great room, with balcony and private bathroom.",AU,1.336805556,NULL,NULL,NULL,70,656,
"Hale Ohia Cottages, Dillingham Suite",US,-7.5,0,NULL,NULL,179,657,
Ocean front in Makaha,US,-7.5,0,NULL,NULL,69,658,
Nice Private Room: GREAT Location!,US,-7.5,NULL,700,2345,85,659,
DIAMOND ON DIAMOND HEAD,US,-7.5,100,NULL,NULL,120,660,
Bondi Beach Pad,AU,1.336805556,500,NULL,NULL,350,661,
"Sandstone Cottage, Great Mackerel Beach",AU,1.336805556,1000,NULL,NULL,500,662,
Best Location + Private Roof Deck,US,-7.5,NULL,NULL,NULL,85,663,
"MS608 Waikiki Hotspot, w/ Free Parking",US,-7.5,200,NULL,NULL,120,664,
Ocean Blue Room,US,-7.5,100,NULL,NULL,30,665,
Spacious and Bright Brooklyn Two Bedroom Apartment,US,-7.5,5000,NULL,NULL,185,666,
Garden studio with own bathroom,AU,1.336805556,200,420,1860,70,667,
Beautiful and Ridiculously Spacious Master Bedroom,US,-7.5,NULL,NULL,NULL,53,668,
Enjoyable Room in unforgettable  Location: SOHO,US,-7.5,100,NULL,NULL,80,669,
West Maui/Napili. Entire Condo. QUIET! BEACHES!,US,-7.5,250,NULL,NULL,125,670,
Central Flat in Şişli,TR,1.838541667,NULL,NULL,NULL,105,671,
Brightly lit double room in a great location.,AU,1.336805556,200,NULL,NULL,151,672,
Portobello Manly Beach (Apartment #1),AU,1.336805556,500,NULL,NULL,449,673,
The Aloha Suite,US,-7.5,NULL,NULL,NULL,59,674,
Brooklyn home.  Comfort and clean. Liguria room.,US,-7.5,200,NULL,NULL,49,675,
Thelonious Monk room at The Harlem Townhouse,US,-7.5,NULL,NULL,NULL,58,676,
True East Village Art Filled 2 Bedroom with Garden,US,-7.5,150,NULL,NULL,285,677,
Private room w/private bathroom near Central Park!,US,-7.5,250,NULL,NULL,95,678,
Gorgeous Studio & Balcony Garden @ THE MOTHERSHIP,US,-7.5,200,NULL,NULL,150,679,
Backpackers Dream @ The Funky Loft with Breakfast,US,-7.5,300,NULL,NULL,70,680,
Duplex apartment with garden,US,-7.5,500,1300,3500,439,681,
Private  suite,US,-7.5,300,NULL,NULL,90,682,
Stunning Bondi Beach Apartment (With Garage)!!!!,AU,1.336805556,1000,NULL,NULL,260,683,
Charming place on the hippest street in NYC,US,-7.5,0,NULL,NULL,175,684,
*~ADORABLE 1 BD NOLITA APT — CENTRAL DOWNTOWN~*,US,-7.5,1000,NULL,NULL,100,685,
Relaxing Stylish Room near Train and Attractions,US,-7.5,100,NULL,NULL,103,686,
"近新Rockdale一房一厅,近火车站,有停车位,近机场,可接送机",AU,1.336805556,NULL,NULL,NULL,635,687,
"Stylish, relaxing, super convenient",AU,1.336805556,140,NULL,NULL,85,688,
"Cozy 1BD near JFK, Beach, Subway, Buses, & Kitchen",US,-7.5,100,NULL,NULL,35,689,
Maui Kamaole 1BR Ocean View Front Row Condo,US,-7.5,0,NULL,NULL,442,690,
Cozy Granny Flat,AU,1.336805556,300,NULL,NULL,115,691,
Clean and Comfortable,US,-7.5,0,NULL,NULL,75,692,
Hilo/Papa'ikou--Hale Melia,US,-7.5,100,NULL,NULL,60,693,
"Chelsea NYC luxury 2 bed/2 bath, garden apt",US,-7.5,500,NULL,NULL,555,694,
"Central, Spacious, Safe, Seaside Flat",TR,1.838541667,NULL,NULL,NULL,200,695,
RENOVATED STUDIO in Astoria!!! 15mins to the city,US,-7.5,NULL,NULL,NULL,99,696,
Cute Room in Upper West Side (FEMALES ONLY),US,-7.5,0,NULL,NULL,75,697,
Cosy old charm 1Bdrm Home. Close to Transport,AU,1.336805556,200,NULL,NULL,109,698,
"Whole apartment,w/balconies. Close to airport",AU,1.336805556,NULL,NULL,NULL,129,699,
One Bedroom In New Luxury Building,US,-7.5,NULL,NULL,NULL,95,700,
Large 2 Bedroom Apartment close to Bondi Beach,AU,1.336805556,NULL,NULL,NULL,188,701,
Private Room in Brooklyn Brownstone,US,-7.5,NULL,NULL,NULL,39,702,
SLEEP TO THE SOUNDS OF THE OCEAN,US,-7.5,500,NULL,NULL,85,703,
Comfortable Room (2) at Affordable Rates,US,-7.5,0,NULL,NULL,45,704,
Cozy home away from home,US,-7.5,0,NULL,NULL,50,705,
"Family Vacation in NYC, Close to the City!",US,-7.5,0,NULL,NULL,160,706,
The Lighthouse @ Iluka Resort Apartments,AU,1.336805556,1000,NULL,NULL,300,707,
Nice and Big Room Next to Trump Towers,TR,1.838541667,NULL,NULL,NULL,179,708,
A cute house in 4Levent,TR,1.838541667,0,NULL,NULL,475,709,
Superb apartment on the water at Balmain,AU,1.336805556,NULL,NULL,NULL,181,710,
Quiet Bamboo Room next to the beach,US,-7.5,100,NULL,NULL,80,711,
Ocean View Hawaiian Bungalow on a private ranch,US,-7.5,NULL,NULL,NULL,469,712,
2 Bedroom Ocean Front Condo in Honokowai - Sleeps 6 - Hale Mahina #B404,US,-7.5,0,NULL,NULL,269,713,
Emma's White House,AU,1.336805556,NULL,NULL,NULL,70,714,
Brownstone with farmhouse charm,US,-7.5,NULL,NULL,NULL,90,715,
BONDI BEACH APARTMENT - SEA VIEWS,AU,1.336805556,NULL,NULL,NULL,181,716,
Convenient located one bedroom unit,AU,1.336805556,200,NULL,NULL,97,717,
Cozy & convenient 3 bedroom w/ gym *Crown Heights*,US,-7.5,300,NULL,NULL,125,718,
ATAŞEHİR VARYAP MERİDİAN 50. KAT MANZARALI SUITE,TR,1.838541667,0,NULL,NULL,269,719,
Outstanding Glebe Apartment,AU,1.336805556,250,NULL,NULL,135,720,
"Big, bright, and beautiful bedroom!",US,-7.5,NULL,NULL,NULL,100,721,
Affordable Guest Room,US,-7.5,100,NULL,NULL,166,722,
Gorgeous Boutique Hotel Room in Taksim #8,TR,1.838541667,NULL,NULL,NULL,179,723,
Elegant quiet luxury home at Bondi,AU,1.336805556,2000,NULL,NULL,695,724,
"Newtown: comfort, character and charm",AU,1.336805556,NULL,NULL,NULL,65,725,
Friendly & Conveniently Home at Bondi Junction,AU,1.336805556,150,NULL,NULL,58,726,
Manhattan Cozy Room by Columbia Uni,US,-7.5,0,NULL,1500,53,727,
Luxurious Granny Flat. Bella Vista,AU,1.336805556,150,NULL,NULL,161,728,
Quiet space for one,AU,1.336805556,NULL,NULL,NULL,47,729,
Adorable Garden Gingerbread House,US,-7.5,200,NULL,NULL,175,730,
Triple Room  - Ocean's 7 Hotel,TR,1.838541667,NULL,NULL,NULL,148,731,
New Furnishings! Very Private! Great Deal! GC 137,US,-7.5,300,NULL,NULL,200,732,
Quaint Polynesian Style Cabin on a Working Farm,US,-7.5,500,NULL,NULL,60,733,
Enjoy your stay at CyrstalSilver house,AU,1.336805556,NULL,NULL,NULL,40,734,
"Clean, Quiet, & Sunny Dancer's Apt!",US,-7.5,0,NULL,NULL,89,735,
"New 1BD Condo in Napili Ridge, Walk to Beach",US,-7.5,300,NULL,NULL,99,736,
Bright studio apartment close to Sydney Uni!,AU,1.336805556,300,NULL,NULL,125,737,
Self contained garden/artist studio,AU,1.336805556,NULL,NULL,NULL,80,738,
Cozy w/ Yard & Walking Distance to Waikiki - BROC,US,-7.5,0,NULL,NULL,110,739,
Clean Private Room in East Village,US,-7.5,NULL,NULL,NULL,100,740,
Old School Hospitality,US,-7.5,200,NULL,NULL,110,741,
Super clean and cosy,AU,1.336805556,1000,NULL,NULL,129,742,
Peaceful hometown with perfect sea and forest view,TR,1.838541667,800,NULL,NULL,501,743,
Warehouse style studio,AU,1.336805556,0,NULL,NULL,151,744,
New Renovated Private 1 bed/bath in Prime Location,US,-7.5,NULL,NULL,NULL,150,745,
Room  in Taksim/Pera very Close to İstiklal Str.,TR,1.838541667,0,NULL,NULL,53,746,
Unit close to CBD available for Christmas & NYE!,AU,1.336805556,300,NULL,NULL,70,747,
Cute Tiny Room Family Home by LGA NO CLEANING FEE,US,-7.5,300,NULL,NULL,48,748,
Papakea A108,US,-7.5,NULL,NULL,NULL,260,749,
"Room in just-refurbished, classic brownstone flat.",US,-7.5,NULL,NULL,NULL,75,750,
Deluxe apartment in Harbiye 10 mins to taksim,TR,1.838541667,0,NULL,NULL,765,751,
Bright uptown apartment in the heart of Harlem,US,-7.5,0,NULL,NULL,200,752,
North Shore Beach Bungalow Just Steps to the Sand!,US,-7.5,NULL,NULL,NULL,95,753,
"Kapalua Ridge 511-13. Spacious villa offering one-of-a kind ocean, coastal, island AND golf views!",US,-7.5,0,NULL,NULL,380,754,
Coney Island MCU Park Wi fi Cable Apt****,US,-7.5,0,NULL,NULL,110,755,
Central Park North $140 - 1 BR with yard,US,-7.5,NULL,NULL,NULL,140,756,
Perfect Peaceful Hale,US,-7.5,1000,NULL,NULL,417,757,
Cute Beachside Get Away,AU,1.336805556,NULL,NULL,NULL,139,758,
Kona Tropical Bungalow,US,-7.5,0,NULL,NULL,68,759,
"In Sisli. Walking distance to Taksim,Nişantaşı.",TR,1.838541667,NULL,NULL,NULL,142,760,
Clean and cosy bedroom,TR,1.838541667,NULL,679,2257,84,761,
"Cozy, separated living room in Prospect Park, NYC",US,-7.5,NULL,NULL,NULL,45,762,
Center of Waikiki Renovated Ocean View Condo(MS03),US,-7.5,NULL,NULL,NULL,148,763,
Taşdelen kardiyum sakin oda,TR,1.838541667,NULL,NULL,NULL,69,764,
AMAZING Waikiki Skytower Condo - Close Walk to Everything! - Waikiki Sky Tower Mountain 1 BDR on the 14th Floor,US,-7.5,0,NULL,NULL,113,765,
Bright and Breezy Bondi Beach Pad,AU,1.336805556,150,NULL,NULL,141,766,
"Gorgeous and artfully styled oasis ....""""",AU,1.336805556,500,NULL,NULL,300,767,
"Ocean Front Ecstasy! Homey w/Tile Floor, Full Kitchen, WiFi, Flat Screen–Paki Maui 409",US,-7.5,0,NULL,NULL,377,768,
Character renovated house close to city,AU,1.336805556,0,NULL,NULL,264,769,
Spacious Sunlit 1 BR Apartment in Heart of Harlem,US,-7.5,500,NULL,NULL,110,770,
"Beachside room not far from the airport,",AU,1.336805556,0,NULL,NULL,73,771,
"LARGE LUXURY 2bed,w/King,Queen & Full, TIMES SQ",US,-7.5,NULL,NULL,NULL,350,772,
Spacious Contemporary Home with Pool,AU,1.336805556,500,NULL,NULL,395,773,
Comfortable Flat in İstanbul,TR,1.838541667,NULL,NULL,NULL,105,774,
Sunny & Spacious 1 Bedroom in Central Harlem!,US,-7.5,NULL,NULL,NULL,150,775,
Spacious private room close St. Barnabas Hospital,US,-7.5,100,NULL,NULL,38,776,
"Bright, beautiful room for a comfortable stay",US,-7.5,0,NULL,NULL,53,777,
Bright & Airy Private Room near L/JMZ trains,US,-7.5,NULL,NULL,NULL,54,778,
Entire MASSIVE apt. for 4 ppl 1 Block from Subway,US,-7.5,500,NULL,NULL,197,779,
"Garden Room: A Feast for the Senses Big Island,Hi.",US,-7.5,0,650,1900,110,780,
Lanikai Plantation - 4 bedrooms/3 baths,US,-7.5,1000,NULL,NULL,595,781,
House Of Hawaii Dreams,US,-7.5,300,NULL,NULL,299,782,
Hale Nui Ohana,US,-7.5,0,NULL,NULL,343,783,
Old Greek Home 1+1 (Near Bosporus),TR,1.838541667,NULL,NULL,NULL,100,784,
Beautiful 4 level terrace in the heart of Sydney!,AU,1.336805556,0,NULL,NULL,274,785,
Auwailani Garden Apartment,US,-7.5,0,NULL,NULL,96,786,
3 BDR APT AND ROOFTOP ONE TRAIN STOP TO MANHATAN,US,-7.5,NULL,NULL,NULL,315,787,
The Paddington Cottage | Sydney Eastern Suburbs,AU,1.336805556,1000,NULL,NULL,350,788,
Private Sunny Room in Bushwick,US,-7.5,NULL,NULL,NULL,30,789,
Harbour Views from North Sydney High Street,AU,1.336805556,150,NULL,NULL,145,790,
Modern Sunny Midtown Gem,US,-7.5,250,NULL,NULL,195,791,
"Great, light filled room with ensuite private bath",US,-7.5,0,NULL,NULL,120,792,
THE ROOM WITH BALCONY in CIHANGIR + FREE WIFI,TR,1.838541667,NULL,NULL,NULL,237,793,
High Floor-Ocean View! 2 Bed/2 Ba/1 Pkg WBT#2302,US,-7.5,0,NULL,NULL,551,794,
East Village Renovated Apartment,US,-7.5,NULL,NULL,NULL,60,795,
The Cov @ Marrickville (the Brooklyn of Sydney),AU,1.336805556,500,NULL,NULL,200,796,
Central location,TR,1.838541667,NULL,NULL,NULL,221,797,
Newly renovated home,AU,1.336805556,NULL,NULL,NULL,75,798,
Bedroom in a Cozy Apartment,US,-7.5,NULL,NULL,NULL,51,799,
Luxury Retreat On Maunalani Heights Honolulu,US,-7.5,NULL,NULL,NULL,180,800,
Sunny & Budget Friendly,US,-7.5,110,NULL,950,32,801,
kiralık oda,TR,1.838541667,0,NULL,NULL,47,802,
Room in a historical apartment in Beyoglu.,TR,1.838541667,0,NULL,NULL,111,803,
Private room between Bondi Beach and Junction,AU,1.336805556,NULL,NULL,NULL,50,804,
Renovated 20min train to enter city 5min to subway,US,-7.5,199,NULL,NULL,41,805,
IDEALLY LOCATED COZY COTTAGE,US,-7.5,100,NULL,NULL,95,806,
Beach House Manly Apartment 4,AU,1.336805556,200,NULL,NULL,195,807,
"Double sized room with king bed, perfect location",AU,1.336805556,NULL,NULL,NULL,63,808,
Sunny Modern Bedroom 30 seconds from Subway!,US,-7.5,300,NULL,NULL,100,809,
Waikiki Studio with Kitchenette 5 min to beach,US,-7.5,100,NULL,NULL,80,810,
Club Cliff for a great beach vacation.,AU,1.336805556,0,NULL,NULL,600,811,
Huge private bedroom in the heart of Manhattan,US,-7.5,100,NULL,NULL,72,812,
Kutu gibi Ev,TR,1.838541667,0,NULL,NULL,47,813,
"GIANT! Perfect for families, in the center of NYC",US,-7.5,NULL,3000,9495,399,814,
Amazing Gardens in Oceanfront Resort 8202,US,-7.5,150,NULL,NULL,159,815,
"Beautiful, Comfortable Apt. in Convenient Location",US,-7.5,0,NULL,NULL,110,816,
KONA COUNTRY CLUB VILLAS,US,-7.5,250,NULL,NULL,135,817,
Nautical Nest,US,-7.5,0,NULL,NULL,120,818,
Akin YellowHouse 2nd floor twin room good location,TR,1.838541667,NULL,NULL,NULL,142,819,
JFK 10 & LGA 15 MINUTES AWAY A/C PRIVATE BEDROOM B,US,-7.5,NULL,NULL,NULL,50,820,
"1BR condo, full kitchen, Lanai, value in Kapaa",US,-7.5,NULL,NULL,NULL,129,821,
❤ of NYC | Walk + Transit Score 100 | King Bed,US,-7.5,200,NULL,NULL,170,822,
A beach break AND a lake!,AU,1.336805556,200,NULL,NULL,300,823,
Cozy Efficiency Studio on Best West Chelsea Block!,US,-7.5,300,NULL,NULL,149,824,
[NEW] West Village Dream Home!,US,-7.5,NULL,NULL,NULL,325,825,
Air conditioned townhouse with furnished room!!,US,-7.5,0,NULL,NULL,85,826,
Single private room(Gray),TR,1.838541667,NULL,774,1727,63,827,
Ala Moana Hotel 1616 Studio City/Ocean View - 1K,US,-7.5,0,NULL,NULL,316,828,
Huge Brooklyn Loft in the Heart of Williamsburg!,US,-7.5,500,NULL,NULL,250,829,
Waikiki Residents,US,-7.5,300,NULL,NULL,95,830,
Complete Kitchen Remodel in this 1bd/1ba garden view condo in South Kihei at the Kihei Akahi. D-208,US,-7.5,NULL,NULL,NULL,239,831,
Maui Sunset large one bedroom condo sleeps 4. A-206,US,-7.5,NULL,NULL,NULL,256,832,
Hawaii - West Oahu - 3-Bedroom Home,US,-7.5,NULL,NULL,NULL,168,833,
Vintage House For Rent,TR,1.838541667,NULL,NULL,NULL,79,834,
Beautiful Apartment near Bondi Junction,AU,1.336805556,NULL,NULL,NULL,50,835,
"1 Bed 1Hall 1Bath &Kitchen ,14th floor Parramatta",AU,1.336805556,200,NULL,NULL,94,836,
"Waipio Valley Nanea, Private Deck & Ocean Views",US,-7.5,0,NULL,NULL,155,837,
1 Bed Apartment with oceans views near Manly,AU,1.336805556,0,NULL,NULL,129,838,
Spacious 1 Bed in the heart of Manhattan,US,-7.5,0,NULL,NULL,196,839,
Pacific Shores-Ocean View Top Floor-A/C All Rooms,US,-7.5,200,NULL,NULL,194,840,
VayCay with Southern Comfort and the Aloha Spirit,US,-7.5,300,NULL,NULL,280,841,
Private room with a Sea view House. Old city area,TR,1.838541667,NULL,NULL,NULL,121,842,
SYDNEY! Great Stay For Holiday,AU,1.336805556,NULL,NULL,NULL,43,843,
Kolea Resort at Waikoloa Beach,US,-7.5,NULL,NULL,NULL,500,844,
we hospitable.we want to learn englsh.mywife and i,TR,1.838541667,NULL,NULL,NULL,26,845,
Family Outdoor Hammock Camping Cabana,US,-7.5,0,NULL,NULL,68,846,
Newly renovated cosy apartment with parking,AU,1.336805556,500,NULL,NULL,115,847,
Sublet: $490/Wk,US,-7.5,NULL,500,NULL,80,848,
Cute North Shore Studio,US,-7.5,0,NULL,NULL,100,849,
Family Apartment B - Winter Special Discount,AU,1.336805556,200,NULL,NULL,168,850,
Modern Beautiful Bedford Stuyvesant Brownstone,US,-7.5,0,NULL,NULL,60,851,
Worm modern and comfy place in the heart of Sydney,AU,1.336805556,0,NULL,NULL,999,852,
New York City  UWS Luxury Bldg - Private Room&Bath,US,-7.5,500,NULL,2499,160,853,
Cozy bedroom on Wall Street,US,-7.5,200,NULL,NULL,40,854,
Private room Great Deal at Lower East Side,US,-7.5,300,NULL,2400,94,855,
Peaceful single room next to Clovelly Village,AU,1.336805556,NULL,NULL,NULL,60,856,
Robissey,TR,1.838541667,NULL,NULL,NULL,58,857,
Cute little studio in Elizabeth Bay,AU,1.336805556,0,NULL,NULL,90,858,
Antique Studio In City Center Of Istanbul,TR,1.838541667,0,NULL,NULL,211,859,
Steps to Charley Young Beach Apt #2,US,-7.5,0,NULL,NULL,179,860,
Great 1BD waterfront City Island NY,US,-7.5,0,660,1950,100,861,
Bright and airy in the heart of Chippendale,AU,1.336805556,0,NULL,NULL,195,862,
Upscale Master Bedroom near Waikiki,US,-7.5,NULL,NULL,NULL,59,863,
Merkezi Konum,TR,1.838541667,NULL,NULL,NULL,47,864,
taksim istanbul apart 3+1,TR,1.838541667,0,NULL,NULL,649,865,
"Gorgeous, Hi-end Wailea 1 BR Suite!",US,-7.5,400,NULL,NULL,210,866,
Light Filled Warehouse Apartment in Surry Hills,AU,1.336805556,250,NULL,NULL,129,867,
Mecidiyeköy - Kiralık Eşyalı Oda,TR,1.838541667,NULL,NULL,NULL,100,868,
"4floor house in Taksim,Taksimde 4katli müstakil ev",TR,1.838541667,NULL,NULL,NULL,58,869,
"House, Pool and Spa near Manly",AU,1.336805556,1000,NULL,NULL,590,870,
No.33,AU,1.336805556,NULL,NULL,NULL,105,871,
MONTAGNA HERA HOTEL TRIPLE ROOM,TR,1.838541667,NULL,NULL,NULL,269,872,
One bedroom Bronte Beach,AU,1.336805556,1000,NULL,NULL,550,873,
LUX SUIT FLATS WITH SWIMMING POOL,TR,1.838541667,NULL,NULL,NULL,348,874,
Comfy Guest room+private bathroom+ 300ft to Trains,US,-7.5,0,NULL,NULL,77,875,
"Bronte apt, beautiful ocean views, huge balcony!!!",AU,1.336805556,265,NULL,NULL,290,876,
LUXURY ★ Tropical Hawaiian  ★ OCEANFRONT ★ VIEWS!,US,-7.5,500,NULL,NULL,225,877,
"Center of Istanbul, comfortable for family house",TR,1.838541667,700,NULL,NULL,200,878,
Kaena O Kekai,US,-7.5,300,NULL,NULL,395,879,
"Expensive, Small place, but it is 100% clean",US,-7.5,NULL,NULL,NULL,157,880,
Ensuite Central and Convenient 1 Bedroom Waterloo,AU,1.336805556,NULL,NULL,NULL,70,881,
balcony room,AU,1.336805556,NULL,NULL,NULL,50,882,
Bright modern top floor Mosman apartment,AU,1.336805556,NULL,NULL,NULL,129,883,
"Very Central, Cosy Flat in Şişli İstanbul!",TR,1.838541667,0,NULL,NULL,211,884,
Waikiki private big room #2,US,-7.5,100,NULL,NULL,50,885,
Homebase for your Hawaii adventures!,US,-7.5,0,NULL,NULL,150,886,
"Perfect Place To Rest, Close to All in NYC!",US,-7.5,100,NULL,NULL,70,887,
Beautiful Comfortable Historic Brownstone,US,-7.5,0,NULL,NULL,115,888,
"GREAT LOCATION, AMAZING OCEANFRONT VIEWS!",US,-7.5,0,NULL,NULL,189,889,
Cosy one bedroom apartment,AU,1.336805556,0,NULL,NULL,60,890,
Executive studio in the heart of Manhattan,US,-7.5,500,NULL,NULL,169,891,
"Potts Point, Pool and Harbour views",AU,1.336805556,1000,1100,NULL,751,892,
Modern Studio in Classic Upper East Side,US,-7.5,NULL,NULL,NULL,115,893,
Beautiful Apartment+Garden In Brooklyn,US,-7.5,350,NULL,NULL,170,894,
Ultra Modern Pool House Maroubra,AU,1.336805556,1000,NULL,NULL,328,895,
Sunny apartment in Neutral Bay,AU,1.336805556,300,NULL,NULL,119,896,
Spacious Clean Studio  Apartment,US,-7.5,0,NULL,NULL,60,897,
Stately Darlinghurst Terrace,AU,1.336805556,NULL,2646,NULL,419,898,
Shiny BALCONY:)) room CENTRAL ISTANBUL ŞİŞLİ,TR,1.838541667,NULL,NULL,NULL,53,899,
Location + Value in the heart of Lahaina + Free Parking and WiFi + Free Activities,US,-7.5,0,NULL,NULL,125,900,
Stunning studio APT in the heart of NYC,US,-7.5,400,NULL,NULL,99,901,
"Bright, modern room and bath w/ pool, gym, spa",US,-7.5,0,NULL,NULL,100,902,
Mi Casa su Casa!,US,-7.5,NULL,NULL,NULL,80,903,
Chic & Sleek Mid-Century Styled Apt,US,-7.5,250,NULL,NULL,100,904,
Charming Private Room in the heart of East Village,US,-7.5,0,NULL,NULL,125,905,
"Small, modern and cozy apartment",AU,1.336805556,NULL,NULL,NULL,80,906,
2 Bedroom Beachfront with Parking,AU,1.336805556,3000,900,4000,151,907,
"BEAUTIFUL Kihei Get-a-way, warm & relaxing",US,-7.5,1000,NULL,NULL,135,908,
Crows Nest Family Apartment - 10 mins to CBD,AU,1.336805556,400,NULL,NULL,250,909,
Spacious 3 BDR APT Brooklyn Sleeps 12!,US,-7.5,399,NULL,NULL,99,910,
Single Sweaty Room 2 stop from Grand Pazar,TR,1.838541667,NULL,NULL,NULL,311,911,
Island Sands #111 - 2BR Beautiful Oceanfront Condo,US,-7.5,0,NULL,NULL,343,912,
Kaneohe Haven,US,-7.5,250,NULL,NULL,60,913,
Big 3 Bedroom Garden Level Apartment Near Subway,US,-7.5,800,NULL,NULL,72,914,
Charming Townhouse duplex in Chelsea,US,-7.5,1500,NULL,NULL,500,915,
Cozy & Nice Bedroom in an Apt/NYC.,US,-7.5,NULL,NULL,NULL,86,916,
"Aloha AKU Honu Suite - Beachfront, 1 BR/Bath, LR w/Full Kit, Lanai, AC, WiFi",US,-7.5,0,NULL,NULL,228,917,
Industrial style & Chic space near Central Park,US,-7.5,150,NULL,NULL,148,918,
Cozy And Quiet Getaway (Queen Size Bed),US,-7.5,100,NULL,NULL,34,919,
Waikiki Ocean View! Great Location! Free Parking,US,-7.5,0,NULL,NULL,120,920,
"Sheepshead Bay, 1-bdr apartment. Close to all!",US,-7.5,NULL,NULL,NULL,130,921,
The Sunset Stowaway—A Peaceful Napili Ridge Studio,US,-7.5,200,NULL,NULL,110,922,
Private room (bright and clean) Manhattan NYC,US,-7.5,1250,NULL,NULL,44,923,
"Large 1-bdrm, Heart of Bay Ridge Brooklyn",US,-7.5,250,NULL,NULL,85,924,
House close to station & direct to opera house....,AU,1.336805556,300,NULL,NULL,181,925,
Private 4 Bedroom Beach House in Bondi,AU,1.336805556,0,NULL,NULL,499,926,
Homely Stay in the Heart of Bondi Junction,AU,1.336805556,0,NULL,NULL,119,927,
Marriott Waiohai Beach Club 2Bd Villa 2020,US,-7.5,NULL,NULL,NULL,495,928,
Pleasant 1 bedroom apartment in Harlem Brownstone,US,-7.5,200,NULL,NULL,80,929,
Williamsburg Bedroom w/Private Terrace!,US,-7.5,100,NULL,NULL,70,930,
Stunning Summer House - Perfect for Families,AU,1.336805556,150,NULL,NULL,299,931,
丛林别墅,AU,1.336805556,NULL,NULL,NULL,80,932,
Balcony Room in Fun Share House!,AU,1.336805556,0,NULL,NULL,70,933,
"Kaha Lani Resort #311, Great Ocean and Sunrise Views, Steps to Sandy Beach",US,-7.5,0,NULL,NULL,229,934,
Wyndham Kona Hawaiian Resort - Two Bedroom Condo WVR,US,-7.5,NULL,NULL,NULL,321,935,
Awesome Privat Room+Privat bathroom in Bushwick,US,-7.5,0,NULL,NULL,50,936,
"Large, Sunny 2BR/2BA Penthouse, Great Beach",US,-7.5,0,NULL,NULL,180,937,
huge room in trendy Erskineville. 5 mins to city,AU,1.336805556,0,NULL,NULL,48,938,
Private Double Room with a private bathroom,TR,1.838541667,NULL,NULL,NULL,79,939,
Guest Room;Diamond Head/Kaimuki;Comfortable/clean,US,-7.5,100,NULL,NULL,75,940,
Manly apartment 30 meters from the beach,AU,1.336805556,0,NULL,NULL,300,941,
Awesome 2-storey home Bronte Beach next to Bondi!,AU,1.336805556,750,NULL,NULL,355,942,
Mokapu Oasis,US,-7.5,100,NULL,NULL,80,943,
COMFORTABLE APARTMENT IN TAKSIM,TR,1.838541667,0,650,2750,158,944,
1 block away from the beach,US,-7.5,0,NULL,NULL,67,945,
Newly Renovated Brooklyn Apt.,US,-7.5,NULL,NULL,NULL,40,946,
İstanbul un kalbi sisli. Center of istanbul sisli,TR,1.838541667,NULL,NULL,NULL,48842,947,
Couch at Kadıköy's Famous Bars Street,TR,1.838541667,NULL,NULL,NULL,74,948,
Amazing Studio step away from Time Square/53C,US,-7.5,0,NULL,NULL,120,949,
"Our COZY LOFT in Williamsburg, Brooklyn",US,-7.5,400,NULL,NULL,86,950,
Tootsie's Hideaway,US,-7.5,100,NULL,NULL,80,951,
Peaceful Refuge in Central Kona,US,-7.5,100,NULL,NULL,65,952,
BEAUTIFULLY UPGRADED OCEANFRONT STUDIO,US,-7.5,0,NULL,NULL,205,953,
Private Bedroom w River View in Downtown Manhattan,US,-7.5,0,NULL,NULL,90,954,
Duo· Sleeps 9! 4Bedroom/2Bath/2Kitchen/2Parking,US,-7.5,400,NULL,NULL,360,955,
